matricula;estado;lat;long
3414ALH;0;37.7651;3.17834;
3830DWF;3;37.7875;3.04182;
4070IRT;2;37.4426;3.6393;
9591PZS;1;37.0009;3.78209;
4817IGX;3;37.2111;3.35197;
2801CLM;2;37.4644;3.9945;
8767ADK;2;37.9326;3.91422;
5006LUF;3;37.3528;3.87219;
3214FQB;0;37.8749;3.70005;
4870SHO;0;37.5018;3.81909;
6896TQO;2;37.7155;3.56243;
7180FUS;2;37.0568;3.8354;
2432BHH;3;37.8385;3.90588;
3134NAF;2;37.3727;3.93581;
6157SCN;2;37.5936;3.98887;
1974BUV;2;37.8452;3.31104;
9783JRD;0;37.8815;3.98033;
5610VRZ;0;37.2067;3.86626;
9506RLF;2;37.562;3.52189;
4152SZU;0;37.6777;3.56686;
0873LQX;2;37.0795;3.93581;
7908CBR;1;37.4377;3.319;
9777OBU;0;37.0505;3.70043;
7507NLP;0;37.0991;3.32744;
5617WNC;0;37.816;3.97968;
7626TUQ;1;37.6274;3.72192;
2232HQL;2;37.7122;3.11953;
4118WXP;0;37.592;3.03402;
3147JJU;3;37.1459;3.78742;
5420XPM;0;37.7783;3.9625;
9212EHP;0;37.5603;3.89991;
2468ZJH;3;37.599;3.61025;
0052CAS;0;37.5721;3.60112;
4885SPY;3;37.6926;3.04529;
8914RGY;2;37.261;3.36478;
5630YVJ;2;37.0057;3.45789;
2561GQA;2;37.4606;3.4482;
7088CVC;0;37.4561;3.76837;
7682KDB;1;37.9385;3.96844;
1057JLD;1;37.3791;3.62496;
4614AXZ;1;37.5997;3.77702;
3102YGP;3;37.8801;3.84854;
6701HVH;2;37.413;3.53739;
5416IFG;3;37.9518;3.99086;
5495IVK;1;37.0047;3.16028;
9992KQV;3;37.5537;3.36334;
8889BXC;1;37.8816;3.00324;
9630PPK;1;37.6368;3.81335;
1303BKN;1;37.2734;3.04011;
5855PIS;3;37.3563;3.17773;
4479UEC;0;37.1814;3.52564;
3503SXC;0;37.2123;3.81203;
8523ZPP;1;37.5488;3.03253;
8585CLO;3;37.3926;3.97767;
3353EKV;2;37.5383;3.10873;
0454YAD;3;37.0635;3.75672;
4632ZFZ;1;37.5685;3.09248;
9045NMN;2;37.2057;3.47889;
4131WXL;3;37.5255;3.25591;
3726ZYY;3;37.5924;3.106;
4540EUQ;3;37.6464;3.8781;
0293XTZ;0;37.8902;3.85254;
1013YAL;0;37.382;3.58452;
9145DGP;2;37.289;3.82134;
5386CMX;3;37.2295;3.59297;
1922DAR;0;37.2446;3.0935;
3689JXD;1;37.8054;3.68586;
7915FMV;3;37.0519;3.06736;
7191ZKB;0;37.1285;3.19452;
9669SEE;3;37.5165;3.31172;
6059LGZ;1;37.4159;3.11176;
9428NBX;1;37.6887;3.7176;
9168QQW;2;37.9897;3.63078;
0077BME;1;37.7448;3.62146;
2266LVV;0;37.8732;3.13476;
8466CSZ;2;37.6293;3.85832;
3590HIO;3;37.0601;3.20747;
6762ZXG;3;37.1203;3.82439;
2161EKH;1;37.3406;3.31039;
2301LTJ;0;37.2502;3.17116;
6842XAA;1;37.3608;3.50081;
3172ALU;2;37.1484;3.86712;
8400NEN;0;37.6361;3.82673;
7084WFU;0;37.8822;3.06111;
4923XHA;2;37.3901;3.66071;
3185WTV;1;37.7436;3.61274;
7777FYS;1;37.1463;3.51894;
6458TRF;3;37.1358;3.32451;
1001DWQ;3;37.6023;3.93845;
2050BCE;3;37.8817;3.01733;
5193ZCK;3;37.432;3.01681;
7117JMD;1;37.7994;3.29153;
9656CFI;2;37.6163;3.45678;
6205XOW;1;37.5057;3.69459;
2253KSB;3;37.0608;3.13153;
0376KPJ;0;37.8353;3.60103;
6718DMK;1;37.1677;3.4969;
7104QUX;2;37.4666;3.6059;
3842SIN;1;37.5018;3.85905;
6198LYS;0;37.7912;3.19968;
3295ZGL;0;37.9809;3.37389;
5359HDU;2;37.3374;3.10509;
0029CXA;3;37.7229;3.20165;
7566UTG;0;37.9288;3.11539;
7674RWT;1;37.9938;3.21657;
4416AAY;2;37.4059;3.20626;
9885EVO;1;37.5686;3.11098;
5095CDH;1;37.2947;3.03218;
6507FYV;1;37.696;3.38618;
1429VDU;0;37.6909;3.48865;
7737QNG;0;37.0865;3.20951;
0210ENV;3;37.5552;3.39058;
6538VTX;1;37.6629;3.33123;
5078XLQ;3;37.3952;3.0852;
2515IRA;3;37.3048;3.28909;
4260LLR;2;37.3192;3.12026;
0009COI;0;37.7393;3.817;
1932PPB;1;37.1976;3.50253;
8385TBQ;0;37.7028;3.52866;
2352IYO;3;37.5313;3.33607;
3118ZAK;2;37.7714;3.34727;
8656JWN;2;37.4828;3.37709;
9667TWR;3;37.6805;3.94549;
7091XCH;3;37.5878;3.87156;
1127RRJ;0;37.3134;3.13469;
6982KFR;1;37.8603;3.51698;
0411NGU;1;37.8851;3.27058;
4428PXW;1;37.2393;3.01516;
3343IUN;1;37.6659;3.1581;
3646DYA;3;37.502;3.05233;
8562UFH;2;37.3638;3.33365;
5762JIO;0;37.3116;3.29141;
4400NHG;3;37.5838;3.45542;
3759SNC;3;37.5184;3.52556;
6802MVY;1;37.6973;3.42926;
9319CSA;0;37.4736;3.90521;
0955KLU;0;37.5785;3.26656;
3676OID;2;37.4897;3.27528;
5429VQV;3;37.1502;3.07398;
1306WCN;2;37.8014;3.01442;
7624WSA;2;37.3953;3.00706;
3657HMG;3;37.9448;3.73534;
2765TYH;0;37.3839;3.52087;
3375DJG;0;37.6609;3.55766;
7095YDX;0;37.69;3.66317;
1287ZXP;3;37.5953;3.4514;
3580CXE;0;37.6648;3.36747;
5505KYU;1;37.7806;3.40907;
9349KAV;1;37.0799;3.39849;
2232NWV;3;37.1721;3.10657;
8640VKG;1;37.1415;3.1208;
7073KNV;3;37.9133;3.70297;
3217QKB;2;37.7223;3.02846;
7511WKZ;0;37.7686;3.98479;
3892WTG;3;37.381;3.75875;
0173SHH;3;37.5399;3.48204;
9812BXF;0;37.7512;3.07199;
7376HFZ;1;37.148;3.9242;
4601TLK;2;37.0242;3.69388;
8580IWN;1;37.403;3.48716;
5744BOL;0;37.6663;3.35152;
5726WEH;1;37.7295;3.93058;
5315PPD;2;37.6879;3.97386;
6370IDQ;1;37.4972;3.55639;
1734JOS;0;37.8742;3.49248;
9890TOF;3;37.2866;3.93111;
3172TXF;0;37.9458;3.25644;
4889QJR;0;37.1401;3.73976;
8868ZUA;0;37.4964;3.9899;
8205YIE;2;37.052;3.63032;
5605HQC;1;37.1165;3.77015;
9776XOO;3;37.9228;3.97906;
1113UDT;0;37.4181;3.22859;
6857ZBR;3;37.0146;3.58935;
6596PCM;1;37.3171;3.78908;
2223KUX;3;37.1655;3.16799;
3530YSL;1;37.3899;3.9497;
5074CCS;3;37.9355;3.4306;
4847OEX;3;37.5065;3.7743;
1174LRH;1;37.7836;3.94282;
8295KOI;1;37.4735;3.15093;
3529KYW;0;37.9736;3.96469;
0717ZSQ;0;37.5429;3.688;
5265PHL;3;37.6467;3.16014;
1116AMA;0;37.8574;3.90795;
4675DAG;3;37.0435;3.89323;
5252VFB;2;37.2291;3.82698;
8482WYQ;2;37.3483;3.01759;
4961PVS;1;37.1036;3.35538;
0116FZP;0;37.0685;3.58012;
1499OLO;0;37.2809;3.29709;
0068SDF;0;37.369;3.71948;
5308HQP;2;37.0566;3.05314;
5617JBU;1;37.8474;3.13699;
6355JDI;2;37.6295;3.10645;
3483URN;2;37.1266;3.11868;
3044TPB;2;37.0524;3.04877;
0135ISM;3;37.0603;3.71165;
6516UYH;0;37.2815;3.22371;
2508XCP;0;37.4491;3.78972;
8403AWH;2;37.8538;3.53567;
8969JKP;0;37.4293;3.18425;
4445OVB;2;37.2783;3.20783;
4336QNX;1;37.0818;3.6093;
8826JVR;1;37.5448;3.3008;
6661DOY;2;37.0742;3.80525;
5391JQE;0;37.7053;3.16437;
1683QGG;1;37.7505;3.68538;
1137MGJ;1;37.8438;3.88469;
9010HWY;0;37.4203;3.72887;
4445NOZ;1;37.6496;3.77359;
8331QGX;3;37.5757;3.35674;
7658KMT;3;37.9513;3.97982;
5921KRL;3;37.4219;3.3555;
1246RYQ;1;37.5586;3.34814;
5390EAX;1;37.3041;3.18764;
7641FCU;2;37.5592;3.6531;
0434RYL;3;37.2938;3.57525;
3744FAK;2;37.7309;3.07022;
8812DIX;3;37.8599;3.17517;
4937TML;0;37.4241;3.57911;
7064DHM;3;37.2983;3.40335;
7848ISZ;3;37.3522;3.56368;
8371GEZ;2;37.4632;3.08036;
5253MUG;3;37.6765;3.90266;
9205NRZ;0;37.846;3.43293;
2241HVF;2;37.9838;3.1358;
7232PFO;1;37.4695;3.4306;
0520DLR;2;37.1156;3.53259;
3320SWF;1;37.637;3.77937;
4907FBM;1;37.1022;3.06224;
7601PVE;2;37.3084;3.90931;
6141FML;2;37.6759;3.24;
0712KKX;3;37.5401;3.92135;
0142YDI;2;37.2146;3.13659;
3839DLR;0;37.7471;3.96222;
4445EQV;0;37.5254;3.9785;
6942WEU;0;37.5684;3.42499;
0703UYI;3;37.4481;3.24066;
6800HWQ;1;37.4507;3.1206;
8613XNV;1;37.0771;3.96685;
7359JUR;3;37.5223;3.31567;
7969ZOQ;0;37.1471;3.97636;
8779UYH;0;37.8349;3.5806;
4241JZP;1;37.0053;3.89297;
5403LAF;3;37.1639;3.97514;
8845LAX;0;37.4298;3.54108;
5009MNM;1;37.1813;3.4114;
8549TMB;0;37.4865;3.20963;
3737OWL;1;37.1477;3.876;
3403BIT;1;37.5794;3.14533;
5050LGE;2;37.2024;3.27703;
3536WZR;0;37.0128;3.54303;
2844WZT;1;37.0118;3.06322;
2157ZDX;3;37.9644;3.83644;
9132TQN;2;37.9697;3.14877;
0256YLR;3;37.6076;3.90408;
0456WOV;1;37.609;3.34468;
5531NLN;2;37.7887;3.55856;
7614OBD;2;37.1078;3.49844;
5930LJV;2;37.8123;3.87234;
5400FFZ;0;37.4821;3.35205;
7070CJO;3;37.6291;3.96561;
6902NWN;0;37.5869;3.73747;
5755SMA;1;37.926;3.94772;
2809FXX;1;37.1716;3.25343;
0572BNM;0;37.4389;3.23969;
7504SOE;1;37.6104;3.77732;
9469QLW;3;37.7618;3.75454;
3881EDS;1;37.3994;3.53599;
6488YFB;3;37.1284;3.65044;
6174CBP;3;37.2624;3.82935;
4874BSJ;1;37.0769;3.39316;
4135LLA;0;37.2423;3.57228;
1911PHK;1;37.197;3.24009;
4274WAI;3;37.9724;3.80939;
0725WHM;0;37.2801;3.95899;
8921CLP;3;37.5316;3.38946;
6165NOT;3;37.5283;3.94568;
2654PQZ;1;37.8767;3.19253;
4178UVQ;1;37.6471;3.4515;
5433XWR;0;37.7644;3.14471;
2330FUU;3;37.8587;3.95508;
8457LWT;1;37.7512;3.03986;
5801XJV;1;37.1157;3.28244;
6000QOI;2;37.8082;3.10937;
9316BAS;2;37.5011;3.41037;
5487TWV;1;37.9823;3.53454;
4994JEC;2;37.0903;3.79648;
2775IEN;2;37.1671;3.42637;
2793LMZ;0;37.6135;3.23701;
3174ERA;2;37.0544;3.8984;
0747XMT;2;37.9637;3.44304;
1500YFM;3;37.1529;3.32455;
3651VJM;1;37.2022;3.17858;
6223RFH;0;37.6481;3.8478;
1721FWH;1;37.1088;3.84374;
1119AQE;2;37.5732;3.32631;
9484ZVZ;0;37.613;3.46947;
7289OFB;1;37.0962;3.66425;
9832FHI;2;37.949;3.55408;
0189DDK;3;37.4364;3.91689;
8447ZYI;1;37.7208;3.90258;
8741LFT;2;37.2491;3.06573;
2822RED;3;37.4498;3.45367;
1536MKC;3;37.4678;3.48456;
8614BGO;2;37.5478;3.64978;
9452YAS;3;37.142;3.13832;
8763FBN;0;37.5859;3.19494;
8691TAL;3;37.6779;3.01259;
6602YNY;0;37.2245;3.06164;
9026JLN;3;37.3177;3.40142;
2133MSF;0;37.3913;3.97365;
4296QPT;2;37.3327;3.39767;
9381TEK;0;37.7908;3.31626;
9793OCR;3;37.3282;3.94435;
